"Interestingness","Cosine","Cosine","Cosine","Cosine","Cosine","Cosine","Coherence","Coherence","Coherence","Coherence","Coherence","Coherence","AllConf","AllConf","AllConf","AllConf","AllConf","AllConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","MaxConf","IR","IR","IR","IR","IR","IR","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski","Kulczynski"
"Thresold","0.001","0.001","0.001","0.045","0.045","0.045","0.001","0.001","0.001","0.045","0.045","0.045","0.001","0.001","0.001","0.045","0.045","0.045","0.001","0.001","0.001","0.045","0.045","0.045","0.001","0.001","0.001","0.045","0.045","0.045","0.001","0.001","0.001","0.045","0.045","0.045"
"Parts-of-speech","NN","JJ","VB","NN","JJ","VB","NN","JJ","VB","NN","JJ","VB","NN","JJ","VB","NN","JJ","VB","NN","JJ","VB","NN","JJ","VB","NN","JJ","VB","NN","JJ","VB","NN","JJ","VB","NN","JJ","VB"
"nGram_1-numRule_1000-supA_10.0-supB_100.0-condAB_0.1-condBA_0.001",,,,,,,"0.002267580000",,,"0.002267580000",,,,,,,,,,,,,,,,,,,,,,,,,,
"nGram_1-numRule_1000-supA_10.0-supB_100.0-condAB_0.1-condBA_0.8",,,,,,,"0.002267580000",,,"0.002267580000",,,,,,,,,,,,,,,,,,,,,,,,,,
"nGram_1-numRule_1000-supA_10.0-supB_100.0-condAB_0.8-condBA_0.001",,,,,,,"0.000000000000",,,"0.000000000000",,,,,,,,,,,,,,,,,,,,,,,,,,
"nGram_1-numRule_1000-supA_10.0-supB_100.0-condAB_0.8-condBA_0.8",,,,,,,"0.000000000000",,,"0.000000000000",,,,,,,,,,,,,,,,,,,,,,,,,,
"nGram_1-numRule_1000-supA_10.0-supB_20.0-condAB_0.1-condBA_0.001",,,,,,,"0.009829740000",,,"0.009829740000",,,,,,,,,,,,,,,,,,,,,,,,,,
"nGram_1-numRule_1000-supA_10.0-supB_20.0-condAB_0.1-condBA_0.8",,,,,,,"0.009829740000",,,"0.009829740000",,,,,,,,,,,,,,,,,,,,,,,,,,
"nGram_1-numRule_1000-supA_10.0-supB_20.0-condAB_0.8-condBA_0.001",,,,,,,"0.014084510000",,,"0.014084510000",,,,,,,,,,,,,,,,,,,,,,,,,,
"nGram_1-numRule_1000-supA_10.0-supB_20.0-condAB_0.8-condBA_0.8",,,,,,,"0.014084510000",,,"0.014084510000",,,,,,,,,,,,,,,,,,,,,,,,,,
